,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64
10,0,0,6,12,14,4,0,0,0,2,15,2,1,15,0,0,0,2,14,0,3,16,2,0,0,0,13,5,14,14,6,0,0,0,2,8,4,7,9,0,0,0,0,0,0,9,9,0,0,0,5,0,5,14,3,0,0,0,7,13,12,4,0,0,7
11,0,0,9,16,16,16,10,0,0,4,16,14,8,11,11,0,0,11,16,7,0,0,0,0,0,5,15,16,6,0,0,0,0,0,1,14,15,0,0,0,0,0,0,8,16,0,0,0,0,0,9,13,14,0,0,0,0,0,12,16,7,0,0,0,6
12,0,0,8,12,13,1,0,0,0,5,12,2,6,13,0,0,0,11,5,0,6,12,0,0,0,7,10,4,13,15,0,0,0,1,11,12,7,12,4,0,0,0,0,0,0,4,9,0,0,0,10,5,0,3,13,0,0,0,6,12,16,13,10,0,7
13,0,5,16,15,3,0,0,0,0,11,14,11,11,0,0,0,0,8,11,4,16,0,0,0,0,0,0,4,13,0,0,0,0,0,0,8,12,0,0,0,0,0,0,13,9,5,1,0,0,1,11,16,16,16,10,0,0,5,16,14,8,6,1,0,6
14,0,0,0,0,14,13,1,0,0,0,0,5,16,16,2,0,0,0,0,14,16,12,0,0,0,1,10,16,16,12,0,0,0,3,12,14,16,9,0,0,0,0,0,5,16,15,0,0,0,0,0,4,16,14,0,0,0,0,0,1,13,16,1,0,7
15,0,0,6,14,15,7,0,0,0,3,15,6,2,14,3,0,0,4,13,0,1,16,4,0,0,0,10,11,9,16,6,0,0,0,1,8,10,14,5,0,0,0,0,0,0,8,11,0,0,1,12,5,0,10,11,0,0,0,7,13,16,16,4,0,7
16,0,0,0,9,15,1,0,0,0,0,10,13,4,0,0,0,0,2,15,1,0,0,0,0,0,5,11,4,4,0,0,0,0,4,16,16,16,16,4,0,0,0,16,2,0,10,8,0,0,0,8,12,4,13,7,0,0,0,1,9,16,11,1,0,6
17,0,0,6,15,16,15,11,0,0,1,15,14,8,8,7,0,0,4,16,5,0,0,0,0,0,7,16,8,0,0,0,0,0,1,11,16,8,0,0,0,0,0,0,15,11,0,0,0,0,0,0,14,11,0,0,0,0,0,9,16,5,0,0,0,6
18,0,2,15,16,7,0,0,0,0,10,15,10,16,2,0,0,0,9,11,5,16,0,0,0,0,0,0,12,11,0,0,0,0,0,5,16,2,0,0,0,0,3,15,8,0,0,0,0,0,8,15,5,5,8,3,0,0,3,15,16,16,16,10,0,6
19,0,0,1,13,12,1,0,0,0,0,9,16,16,12,0,0,0,0,14,6,0,13,3,0,0,6,10,0,0,10,6,0,0,7,13,0,0,9,8,0,0,3,16,1,3,14,7,0,0,0,11,16,16,16,1,0,0,0,0,11,16,6,0,0,0
20,0,0,5,11,13,6,0,0,0,4,15,8,7,16,3,0,0,8,7,0,4,16,1,0,0,4,11,1,10,16,4,0,0,2,15,15,8,16,4,0,0,0,0,0,0,13,6,0,0,1,16,9,0,12,5,0,0,0,4,11,16,16,2,0,7
21,0,0,2,16,15,5,0,0,0,0,10,16,14,15,0,0,0,0,15,10,0,16,7,0,0,4,16,1,0,12,5,0,0,4,15,0,0,12,5,0,0,5,16,6,0,16,0,0,0,0,14,13,8,15,0,0,0,0,3,14,16,6,0,0,0
22,0,2,14,16,6,0,0,0,0,12,14,12,15,0,0,0,0,11,2,8,12,0,0,0,0,0,0,11,11,0,0,0,0,0,2,16,4,0,0,0,0,0,7,13,0,0,0,0,0,1,14,13,8,8,7,0,0,2,15,16,16,15,8,0,6
23,0,0,7,14,16,8,0,0,0,0,14,14,16,14,0,0,0,0,0,0,10,12,0,0,0,0,4,4,14,9,2,0,0,7,16,16,16,16,7,0,0,6,12,16,11,1,0,0,0,0,2,16,3,0,0,0,0,0,6,13,0,0,0,0,7
24,0,0,0,3,12,12,2,0,0,0,7,15,16,16,0,0,0,4,15,9,14,16,3,0,0,2,0,0,14,16,0,0,0,0,0,0,14,16,0,0,0,0,0,0,15,13,0,0,0,0,0,0,16,14,1,0,0,0,0,3,16,13,2,0,7
25,0,0,0,10,15,1,0,0,0,0,5,16,16,10,0,0,0,0,14,6,6,15,0,0,0,4,16,4,0,15,3,0,0,5,15,5,0,11,5,0,0,0,12,11,0,13,5,0,0,0,8,16,16,16,3,0,0,0,1,8,13,8,0,0,0
26,0,0,5,12,9,1,0,0,0,0,16,9,15,9,0,0,0,2,14,1,10,12,0,0,0,0,9,14,16,11,0,0,0,0,3,15,16,9,0,0,0,0,12,10,3,13,1,0,0,0,11,8,5,16,3,0,0,0,4,10,8,3,0,0,7
27,0,0,6,15,15,3,0,0,0,5,16,13,15,8,0,0,0,8,13,0,13,8,0,0,0,0,0,3,16,3,0,0,0,0,0,11,12,0,0,0,0,0,3,16,5,9,8,0,0,0,8,15,15,15,3,0,0,0,5,16,12,1,0,0,7
28,0,0,8,14,1,0,0,0,0,0,7,16,3,0,0,0,0,0,6,16,6,0,0,0,0,0,6,16,9,0,0,0,0,0,2,16,14,0,0,0,0,0,0,8,16,3,0,0,0,0,12,12,16,16,12,4,0,0,7,16,16,16,12,5,6
29,0,0,0,3,14,6,0,0,0,0,3,14,10,1,0,0,0,1,13,10,0,0,0,0,0,9,14,1,0,7,5,0,0,11,15,8,9,16,10,0,0,7,16,16,15,15,2,0,0,0,0,0,12,11,0,0,0,0,0,3,16,2,0,0,6
30,0,0,0,8,15,4,0,0,0,0,3,16,10,11,0,0,0,0,6,12,11,13,0,0,0,0,10,16,16,9,0,0,0,1,16,12,11,5,0,0,0,2,13,0,2,9,0,0,0,0,8,6,2,12,0,0,0,0,1,9,14,9,0,0,7
31,0,1,11,10,8,1,1,0,0,3,15,11,3,12,6,0,0,0,4,16,16,12,0,0,0,0,0,11,16,5,0,0,0,0,5,13,12,12,0,0,0,0,13,7,1,16,4,0,0,1,15,4,7,14,0,0,0,1,14,14,8,1,0,0,7
32,0,1,10,16,15,2,0,0,0,1,12,13,16,4,0,0,0,0,0,0,16,8,0,0,0,0,7,11,16,13,8,0,0,8,16,16,16,16,6,0,0,2,10,16,9,0,0,0,0,0,3,16,4,0,0,0,0,0,10,15,2,0,0,0,7
33,0,0,0,13,1,0,0,0,0,0,10,12,1,0,0,0,0,0,14,3,0,0,0,0,0,4,14,0,4,5,0,0,0,7,16,4,7,14,7,0,0,3,14,0,0,4,12,0,0,0,10,10,4,10,12,0,0,0,1,9,16,14,2,0,6
34,0,0,1,11,14,0,0,0,0,0,9,16,12,0,0,0,0,1,16,7,0,0,0,0,0,7,16,5,5,4,0,0,0,7,16,16,16,16,5,0,0,0,16,13,4,13,7,0,0,0,9,16,14,16,4,0,0,0,1,11,14,9,0,0,6
35,0,0,2,15,14,1,0,0,0,0,11,16,16,4,0,0,0,4,16,16,16,1,0,0,0,7,16,16,14,0,0,0,0,9,16,16,11,0,0,0,0,1,13,16,9,0,0,0,0,0,5,16,5,0,0,0,0,0,2,14,9,0,0,0,7
36,0,0,6,12,15,9,1,0,0,5,14,4,5,16,3,0,0,9,8,3,13,16,4,0,0,3,15,15,7,10,8,0,0,0,0,1,0,12,8,0,0,0,0,0,0,11,2,0,0,0,7,4,5,13,0,0,0,0,5,14,15,4,0,0,9
37,0,0,0,5,11,1,0,0,0,0,0,14,14,2,0,0,0,0,5,16,5,0,0,0,0,0,8,15,2,0,0,0,0,0,10,13,0,0,0,0,0,0,14,16,16,8,0,0,0,0,6,16,9,15,6,0,0,0,0,6,14,16,8,0,5
38,0,0,0,0,9,15,0,0,0,0,1,10,16,16,1,0,0,5,16,15,14,16,0,0,0,1,8,0,10,16,0,0,0,0,0,0,11,16,0,0,0,0,0,0,10,15,0,0,0,0,0,0,12,16,3,0,0,0,0,0,8,16,3,0,7
39,0,0,0,5,15,2,0,0,0,0,0,14,10,2,0,0,0,0,12,14,4,15,0,0,0,6,16,4,9,15,8,0,0,14,15,11,15,16,9,0,0,7,15,15,16,11,0,0,0,0,0,3,16,6,0,0,0,0,0,6,16,2,0,0,7
40,0,0,2,16,5,0,0,0,0,0,4,16,10,0,0,0,0,0,5,16,7,0,0,0,0,0,8,16,9,0,0,0,0,0,15,16,14,2,0,0,0,0,7,8,14,10,0,0,0,0,12,15,14,16,14,9,0,0,2,10,13,16,10,3,6
41,0,0,0,6,14,0,0,0,0,0,4,15,4,0,0,0,0,1,13,9,4,7,0,0,0,7,13,1,13,10,6,0,0,14,14,8,16,16,10,0,0,7,15,16,16,7,1,0,0,0,0,6,16,0,0,0,0,0,0,10,13,0,0,0,7
42,0,0,11,15,16,10,0,0,0,8,16,8,15,16,0,0,0,5,6,10,16,8,0,0,0,0,4,16,11,1,0,0,0,0,2,15,9,0,0,0,0,0,0,9,16,2,0,0,0,0,0,8,16,5,0,0,0,0,13,16,15,0,0,0,7
43,0,0,5,12,13,3,0,0,0,4,16,9,8,12,0,0,0,2,3,0,5,11,0,0,0,0,0,3,11,10,0,0,0,0,0,6,14,15,3,0,0,0,0,0,0,7,11,0,0,0,10,6,4,9,11,0,0,0,6,16,16,14,2,0,7
44,0,0,5,12,13,2,0,0,0,3,16,14,16,13,1,0,0,4,16,9,16,12,1,0,0,1,9,16,15,1,0,0,0,1,13,16,16,5,0,0,0,3,16,5,12,16,0,0,0,3,15,7,14,12,0,0,0,0,6,16,13,3,0,0,7
45,0,0,10,13,8,1,0,0,0,0,16,16,16,8,0,0,0,0,6,1,11,9,0,0,0,0,0,0,13,8,0,0,0,0,0,5,15,4,0,0,0,0,8,16,10,0,0,0,0,8,16,16,16,15,4,0,0,2,10,11,7,2,0,0,7
46,0,0,0,0,12,10,0,0,0,0,0,11,16,3,0,0,0,0,4,15,4,0,0,0,0,0,12,10,0,8,10,0,0,6,15,1,1,15,8,0,0,7,16,8,10,16,7,0,0,4,15,16,16,13,0,0,0,0,0,0,12,9,0,0,6
47,0,0,5,16,16,16,16,11,0,0,6,9,5,5,15,8,0,0,0,0,0,9,11,1,0,0,0,3,6,16,3,0,0,0,5,16,16,16,7,0,0,0,4,8,16,4,1,0,0,0,1,13,10,0,0,0,0,0,3,16,2,0,0,0,7
48,0,0,6,13,16,8,0,0,0,5,16,15,14,12,0,0,0,9,12,2,15,8,0,0,0,0,0,9,12,0,0,0,0,0,0,15,16,13,3,0,0,0,0,3,9,15,11,0,0,0,1,8,14,16,8,0,0,0,7,16,14,6,0,0,7
49,0,0,3,15,16,16,12,0,0,0,12,12,7,16,6,0,0,4,12,0,9,13,0,0,0,0,1,1,13,7,0,0,0,0,8,13,16,16,6,0,0,0,12,15,12,6,1,0,0,0,0,15,5,0,0,0,0,0,3,16,2,0,0,0,7
50,0,0,0,5,12,12,0,0,0,0,5,16,6,1,0,0,0,0,15,5,0,0,0,0,0,5,13,2,7,4,0,0,0,7,15,16,13,15,3,0,0,3,16,9,0,1,12,0,0,0,10,12,2,6,13,0,0,0,0,8,15,16,5,0,6
51,0,0,0,9,11,0,0,0,0,0,5,14,3,2,0,0,0,0,15,2,1,14,3,0,0,5,13,0,13,8,1,0,0,8,13,3,16,14,6,0,0,6,15,16,13,3,0,0,0,0,0,9,11,0,0,0,0,0,0,11,7,0,0,0,7
52,0,1,13,16,16,5,0,0,0,7,10,4,10,12,0,0,0,0,0,0,11,7,0,0,0,0,0,2,15,2,0,0,0,0,0,12,7,0,0,0,0,0,6,12,1,0,0,0,0,0,16,3,1,5,3,0,0,1,15,16,16,15,3,0,7
53,0,0,4,15,15,4,0,0,0,6,16,16,12,14,0,0,0,11,11,6,14,12,0,0,0,3,14,13,14,1,0,0,0,0,12,16,5,0,0,0,0,1,16,13,9,0,0,0,0,0,13,10,15,0,0,0,0,0,3,15,15,0,0,0,7
54,0,0,1,11,12,9,5,0,0,0,14,6,1,15,10,0,0,2,12,4,12,7,10,0,0,1,13,12,3,4,8,0,0,0,0,0,0,4,8,0,0,0,3,4,0,7,6,0,0,0,12,7,3,11,0,0,0,0,3,13,15,3,0,0,9
55,0,0,0,0,12,11,1,0,0,0,0,1,16,16,7,0,0,0,1,14,16,16,7,0,0,1,14,16,14,16,8,0,0,5,12,3,8,16,7,0,0,0,0,0,8,16,4,0,0,0,0,0,8,16,1,0,0,0,0,0,11,12,0,0,7
56,0,0,5,16,1,0,0,0,0,0,12,12,0,0,0,0,0,2,15,8,0,6,5,0,0,9,16,6,12,16,9,0,0,7,16,16,16,15,1,0,0,0,3,10,16,6,0,0,0,0,1,14,10,0,0,0,0,0,5,16,2,0,0,0,7
57,0,0,7,16,11,1,0,0,0,1,15,12,12,12,0,0,0,2,16,2,6,16,2,0,0,1,16,6,6,16,6,0,0,0,7,16,15,16,9,0,0,0,0,0,0,12,11,0,0,0,3,3,6,16,5,0,0,0,8,16,14,6,0,0,7
58,0,3,16,16,16,2,0,0,0,4,14,10,5,0,0,0,0,6,16,16,10,3,0,0,0,4,15,12,14,13,0,0,0,0,2,0,1,15,8,0,0,0,0,0,0,8,13,0,0,3,16,10,7,9,16,0,0,3,13,15,16,16,8,0,7
59,0,0,14,12,12,13,0,0,0,1,16,8,8,6,0,0,0,4,15,8,4,0,0,0,0,2,12,12,15,13,1,0,0,0,0,0,1,13,8,0,0,0,0,0,0,11,7,0,0,5,14,4,7,15,2,0,0,1,10,16,15,5,0,0,6
60,0,0,10,11,4,0,0,0,0,0,10,15,13,13,1,0,0,0,8,11,0,14,4,0,0,0,0,13,15,13,0,0,0,1,11,16,16,0,0,0,0,1,15,3,9,10,0,0,0,0,14,6,15,10,0,0,0,0,8,14,7,1,0,0,7
61,0,0,0,8,16,16,16,6,0,0,6,14,5,8,16,2,0,0,7,4,0,6,12,0,0,0,0,0,0,12,6,0,0,0,0,11,16,16,10,0,0,0,0,12,16,8,0,0,0,0,0,6,16,0,0,0,0,0,0,12,9,0,0,0,4
62,0,0,11,10,12,14,11,0,0,0,16,16,16,16,7,0,0,1,16,16,16,12,0,0,0,1,5,2,11,15,0,0,0,0,1,0,2,16,0,0,0,3,12,0,3,15,0,0,0,6,15,8,13,11,0,0,0,0,9,14,9,2,0,0,7
63,0,1,9,15,16,9,0,0,0,6,12,1,2,16,0,0,0,0,1,0,8,14,0,0,0,0,0,10,15,3,0,0,0,0,0,7,15,5,0,0,0,0,0,0,4,13,2,0,0,2,7,4,4,14,3,0,0,0,9,16,16,10,0,0,7
64,0,0,9,15,6,0,0,0,0,2,16,16,16,7,0,0,0,4,14,5,11,13,0,0,0,7,12,0,0,12,4,0,0,8,11,0,0,7,5,0,0,4,13,1,1,10,6,0,0,2,16,15,15,14,1,0,0,0,8,15,11,4,0,0,0
65,0,0,0,5,15,13,1,0,0,0,2,14,16,14,0,0,0,1,13,16,16,12,0,0,0,9,16,14,16,6,0,0,0,3,5,6,16,4,0,0,0,0,0,8,16,2,0,0,0,0,0,9,16,3,0,0,0,0,0,4,15,13,1,0,7
66,0,0,0,1,15,12,0,0,0,0,0,12,16,13,0,0,0,0,11,16,16,13,0,0,0,11,16,11,13,13,0,0,0,3,7,0,12,14,0,0,0,0,0,0,11,13,0,0,0,0,0,0,15,13,0,0,0,0,0,2,15,13,0,0,7
67,0,0,8,15,16,10,0,0,0,0,7,10,10,15,0,0,0,0,0,0,7,13,0,0,0,0,0,4,14,12,1,0,0,3,16,16,16,12,4,0,0,1,10,16,7,0,0,0,0,0,8,9,0,0,0,0,0,0,13,1,0,0,0,0,7
68,0,0,1,10,13,13,1,0,0,1,13,10,4,14,4,0,0,8,13,0,7,12,0,0,0,2,12,14,15,2,0,0,0,0,5,15,15,2,0,0,0,0,8,7,3,13,3,0,0,0,8,8,0,13,4,0,0,0,1,11,16,16,2,0,7
69,0,0,2,14,13,0,0,0,0,0,14,15,3,0,0,0,0,6,16,2,1,5,0,0,0,10,13,0,5,16,2,0,0,7,16,9,12,16,11,0,0,0,5,12,16,10,2,0,0,0,0,12,12,1,0,0,0,0,0,16,5,0,0,0,7
70,0,0,3,15,12,2,0,0,0,0,1,16,16,6,0,0,0,0,4,16,16,2,0,0,0,0,3,16,16,6,0,0,0,0,4,16,16,0,0,0,0,0,1,15,16,6,0,0,0,0,4,16,16,4,0,0,0,0,4,16,16,6,0,0,7
71,0,3,14,15,6,0,0,0,0,7,15,14,15,0,0,0,0,2,7,2,14,3,0,0,0,0,0,1,14,4,0,0,0,0,0,7,15,2,0,0,0,0,5,15,14,4,1,0,0,4,15,16,16,16,6,0,0,4,15,13,12,11,1,0,7
72,0,0,7,16,16,16,13,0,0,0,8,9,8,15,15,0,0,0,0,0,4,16,7,0,0,0,4,8,12,16,5,0,0,3,16,16,16,14,7,0,0,0,3,8,16,3,0,0,0,0,0,15,13,0,0,0,0,0,7,16,3,0,0,0,7
73,0,0,2,12,1,0,0,0,0,0,6,13,0,0,0,0,0,0,13,4,0,0,0,0,0,0,16,1,0,0,0,0,0,5,16,16,16,10,1,0,0,2,15,6,1,10,8,0,0,0,10,10,0,9,9,0,0,0,2,12,16,15,1,0,6
74,0,1,9,16,16,12,1,0,0,0,7,8,10,16,9,0,0,0,0,0,9,16,4,0,0,0,5,13,13,3,0,0,0,0,13,16,8,0,0,0,0,0,0,11,16,8,0,0,0,0,3,5,14,15,0,0,0,0,10,16,11,4,0,0,7
75,0,0,0,9,14,6,0,0,0,0,10,13,4,13,2,0,0,2,14,0,0,10,6,0,0,4,9,0,0,6,8,0,0,5,8,0,0,8,7,0,0,2,11,1,0,9,5,0,0,0,6,11,4,13,3,0,0,0,1,11,16,12,0,0,0
76,0,0,4,15,16,13,13,10,0,0,12,13,10,15,14,2,0,2,16,6,2,14,6,0,0,1,5,0,9,11,0,0,0,0,7,12,16,14,6,0,0,0,8,15,15,11,2,0,0,0,2,16,8,0,0,0,0,0,7,15,4,0,0,0,7
77,0,0,0,2,15,4,0,0,0,0,0,8,15,1,0,0,0,0,1,14,12,0,0,0,0,0,6,16,12,0,0,0,0,0,13,16,15,4,2,0,0,9,16,16,16,16,11,0,0,3,8,8,16,3,0,0,0,0,0,3,15,0,0,0,6
78,0,0,5,16,14,2,0,0,0,1,13,14,16,8,0,0,0,9,15,3,16,5,0,0,0,10,13,3,16,3,0,0,0,3,3,11,13,0,0,0,0,0,0,13,10,0,0,0,0,0,2,16,16,16,10,0,0,0,6,16,14,12,9,0,7
79,0,0,8,12,15,16,5,0,0,0,10,11,2,3,0,0,0,0,13,5,0,0,0,0,0,2,16,10,12,11,1,0,0,1,16,13,8,14,7,0,0,0,1,0,0,13,3,0,0,0,1,6,12,10,0,0,0,0,10,10,7,0,0,0,6
80,0,0,2,14,13,8,0,0,0,0,12,13,12,13,0,0,0,0,11,6,6,16,4,0,0,0,5,16,15,16,8,0,0,0,0,2,4,11,8,0,0,0,0,0,0,11,9,0,0,2,13,7,1,11,10,0,0,0,2,10,15,16,2,0,7
81,0,0,0,1,8,13,14,2,0,0,2,13,9,4,14,4,0,0,13,9,0,9,14,1,0,4,16,14,14,16,6,0,0,1,11,10,7,14,0,0,0,0,0,0,8,8,0,0,0,0,0,0,11,5,0,0,0,0,0,0,11,3,0,0,7
82,0,0,0,0,11,12,0,0,0,0,0,3,15,14,0,0,0,0,0,11,16,11,0,0,0,0,9,16,16,10,0,0,0,4,16,12,16,12,0,0,0,3,10,3,16,11,0,0,0,0,0,0,16,14,0,0,0,0,0,0,11,11,0,0,7
83,0,0,6,13,2,0,0,0,0,4,16,16,16,11,0,0,0,0,12,11,1,6,1,0,0,0,12,14,10,2,0,0,0,0,1,8,12,12,0,0,0,0,0,0,9,14,0,0,0,0,4,9,16,5,0,0,0,0,9,14,4,0,0,0,7
84,0,0,2,14,1,0,0,0,0,0,11,12,1,0,0,0,0,1,15,4,0,0,0,0,0,5,13,0,0,0,0,0,0,7,12,12,16,13,2,0,0,4,16,12,6,6,11,0,0,0,14,9,0,5,13,0,0,0,3,11,15,14,1,0,6
85,0,0,3,13,16,16,5,0,0,4,15,13,10,16,6,0,0,1,8,1,4,16,4,0,0,0,1,6,11,16,10,0,0,0,13,16,16,13,3,0,0,0,10,7,16,4,0,0,0,0,0,11,13,0,0,0,0,0,4,16,8,0,0,0,7
86,0,0,2,9,14,12,0,0,0,0,12,16,10,15,1,0,0,4,14,3,2,6,6,0,0,5,7,0,0,3,8,0,0,4,7,0,0,1,8,0,0,3,12,1,0,5,8,0,0,0,10,12,7,14,3,0,0,0,1,12,16,8,0,0,0
87,0,0,2,12,12,12,9,2,0,0,9,15,12,13,16,5,0,0,12,8,0,8,10,0,0,1,16,3,3,15,2,0,0,1,3,0,12,7,0,0,0,0,0,4,13,0,0,0,0,0,0,13,9,0,0,0,0,0,3,15,3,0,0,0,7
88,0,0,0,9,9,0,0,0,0,0,3,15,4,0,0,0,0,0,10,12,0,0,0,0,0,0,12,8,4,3,0,0,0,0,14,16,12,14,5,0,0,0,12,10,0,4,13,0,0,0,9,11,0,6,16,1,0,0,0,8,14,15,8,0,6
89,0,0,3,12,8,1,0,0,0,0,14,16,16,15,1,0,0,3,15,2,1,12,4,0,0,6,9,0,0,7,8,0,0,7,8,0,0,5,8,0,0,4,12,0,0,9,6,0,0,0,15,11,9,16,2,0,0,0,3,11,15,7,0,0,0
90,0,0,1,9,15,1,0,0,0,0,9,14,4,0,0,0,0,0,16,3,0,0,0,0,0,6,13,0,0,0,0,0,0,4,14,12,16,13,3,0,0,2,15,13,4,3,13,0,0,0,9,8,2,4,16,1,0,0,0,9,12,12,8,0,6
91,0,0,0,3,15,7,0,0,0,0,0,13,14,3,0,0,0,0,6,15,2,6,6,0,0,2,15,4,0,15,8,0,0,8,12,0,4,16,1,0,0,11,14,12,16,10,0,0,0,2,8,7,15,4,0,0,0,0,0,3,16,2,0,0,4
92,0,0,7,15,16,8,0,0,0,0,16,7,6,15,3,0,0,4,16,0,7,13,4,0,0,0,16,2,8,14,8,0,0,0,12,14,14,7,0,0,0,0,9,16,6,0,0,0,0,0,11,3,14,2,0,0,0,0,5,11,10,10,0,0,7
93,0,0,9,12,12,12,6,0,0,1,14,6,4,4,2,0,0,4,15,12,9,1,0,0,0,4,15,8,11,11,0,0,0,0,1,0,0,14,4,0,0,0,0,0,0,10,8,0,0,0,10,1,0,8,8,0,0,0,9,16,16,15,4,0,9
94,0,0,0,0,12,13,1,0,0,0,0,8,16,15,2,0,0,0,10,16,16,12,0,0,0,4,16,16,16,13,0,0,0,4,7,4,16,6,0,0,0,0,0,1,16,8,0,0,0,0,0,1,16,8,0,0,0,0,0,0,12,12,0,0,7
95,0,0,0,8,14,0,0,0,0,0,2,16,10,0,0,0,0,0,12,16,1,3,5,0,0,5,16,6,2,16,9,0,0,11,16,0,8,16,7,0,0,10,16,16,16,11,1,0,0,1,7,9,16,4,0,0,0,0,0,10,11,0,0,0,7
96,0,0,2,14,15,5,0,0,0,0,10,16,16,15,1,0,0,3,16,10,10,16,4,0,0,5,16,0,0,14,6,0,0,5,16,6,0,12,7,0,0,1,15,13,4,13,6,0,0,0,11,16,16,15,0,0,0,0,2,11,13,4,0,0,0
97,0,0,0,6,9,0,0,0,0,0,2,15,8,0,0,0,0,0,4,16,5,0,0,0,0,0,9,12,7,12,2,0,0,0,9,16,15,13,6,0,0,0,13,14,2,13,6,0,0,0,14,15,13,16,4,0,0,0,1,10,16,10,0,0,6
98,0,3,14,14,16,16,10,0,0,9,15,9,7,1,0,0,0,10,16,11,1,0,0,0,0,1,7,14,9,0,0,0,0,0,0,7,16,0,0,0,0,0,0,6,15,0,0,0,0,1,1,11,10,0,0,0,0,3,15,16,4,0,0,0,6
99,0,0,3,13,13,1,0,0,0,0,10,15,16,7,0,0,0,0,5,3,15,10,0,0,0,0,0,0,16,15,1,0,0,2,7,0,4,16,8,0,0,5,13,0,0,14,9,0,0,0,14,11,9,16,8,0,0,0,3,12,13,8,0,0,7
